client_name,client_id,site_id,operational_start,open_year,proforma_y1,proforma_y2,proforma_y3,proforma_y4,proforma_y5,model5_y1,model5_y2,model5_y3,model5_y4,model5_y5,actual_y1,actual_y2,actual_y3,actual_y4,actual_y5,actual_mature_wash,model5_mature
OBXpress,obxpress_000458,1.0,10-2022,2022,2725.0,3596.0,3893.0,4035.0,4354.0,2909.0,3747.0,3968.0,4561.0,4440.0,3042,2946,2964.0,3045.0,,3259,3561.0
Thoroughbred Seymour,thoroughbredcw_000304,4.0,10-2022,2022,8029.0,10597.0,11470.0,11890.0,12828.0,4976.0,6246.0,6417.0,6586.0,6052.0,8634,10312,9813.0,8359.0,,8620,6066.0
Blue Rhino Car Wash,bluerhinocw_000596,1.0,10-2023,2023,5740.0,7576.0,8364.0,8670.0,9354.0,5582.0,7482.0,7730.0,8325.0,7732.0,5918,7069,7442.0,,,7164,7175.0
Thoroughbred Hurricane,thoroughbredcw_000304,15.0,10-2023,2023,3446.0,4549.0,4923.0,5103.0,5506.0,4781.0,6189.0,6569.0,7525.0,7290.0,2920,4424,5847.0,,,5370,5888.0
Clean Wave Express Carwash,cleanwave_000278,1.0,11-2020,2020,10878.0,14357.0,15540.0,16108.0,17380.0,4201.0,6257.0,6416.0,6525.0,5997.0,10019,13299,12332.0,13704.0,14877.0,14486,5952.0
Magic City Car Wash,magiccitycw_000357,1.0,11-2021,2021,4922.0,6497.0,7172.0,7435.0,8022.0,3690.0,4441.0,4467.0,4514.0,4151.0,5542,5616,6160.0,5933.0,7036.0,6332,4289.0
Stevens Creek Xpress,stevenscreek_000445,1.0,11-2022,2022,11943.0,15763.0,17061.0,17685.0,19082.0,7012.0,10021.0,10136.0,10212.0,9402.0,8950,19776,23692.0,24294.0,,24086,9461.0
Big Dan's Bradenton 301,bigdans_000378,19.0,11-2023,2023,10265.0,13549.0,14958.0,15505.0,16729.0,6356.0,8723.0,9709.0,11672.0,11587.0,10930,14329,15869.0,,,14962,8409.0
Mr. D Cranston,mrdcarwash_000205,3.0,11-2023,2023,4088.0,5396.0,5841.0,6054.0,6532.0,4512.0,5874.0,6139.0,6377.0,5857.0,434,380,588.0,,,454,5730.0
Thoroughbred Campbellsville,thoroughbredcw_000304,6.0,11-2023,2023,4361.0,5755.0,6229.0,6457.0,6967.0,4722.0,6219.0,6270.0,6540.0,5967.0,2156,3259,3670.0,,,3570,5940.0
Suds Deluxe Tomball,sudsdeluxe_000305,1.0,12-2020,2020,6619.0,8736.0,10496.0,10880.0,11739.0,6494.0,9014.0,9507.0,10410.0,9732.0,7426,9486,9068.0,9289.0,8015.0,7312,8711.0
Waterworks Express Car Wash,rivercities_000269,1.0,12-2020,2020,2497.0,3296.0,3567.0,3698.0,3990.0,895.0,1169.0,1224.0,1273.0,1169.0,3112,4572,5052.0,4255.0,3912.0,3480,1141.0
Soapy Shark Okeechobee,soapyshark_000467,1.0,12-2022,2022,10292.0,13584.0,14997.0,15546.0,16773.0,4463.0,5767.0,5836.0,6185.0,5710.0,5150,8868,8953.0,7678.0,,7751,5484.0
