site_id,mae_site
3537,2899.772985480986
1271,2874.0028105776887
1480,2867.0626902109225
1176,2855.356478010985
1137,2841.5025826947226
664,2837.9604492784497
1400,2827.8793046917235
446,2818.7049407861073
1628,2812.92730934165
471,2799.2440442009524
91,2796.5505716959774
516,2795.572249657767
1504,2780.158747133808
47,2778.024875468614
283,2775.0198823030623
1114,2761.61216149397
1153,2742.838496186545
190,2727.019235695167
840,2719.235087588814
231,2712.9522292233455
778,2711.215566338186
539,2673.400418734269
1448,2651.605946583279
3473,2647.468428756122
1353,2637.8881360230666
1233,2637.3433549031165
184,2634.725681776662
59,2632.1348814718003
801,2629.1244947302707
870,2624.7572032906905
1862,2624.3625404841355
447,2618.463830790738
1178,2609.9051121497773
469,2609.8375781984655
31,2609.460393439259
1248,2596.726505636362
1055,2594.5853829609946
1662,2594.215611955457
483,2585.466788786889
1321,2580.28719070575
69,2580.068072808172
1027,2579.8997244994994
365,2575.4046350892977
1519,2568.1835347262704
928,2564.6774114576338
1187,2561.1136768286715
1838,2559.8701851821506
498,2558.5890450942666
1058,2557.0487580945023
1546,2543.98305819544
1646,2538.1838731126045
402,2526.248363647028
196,2521.2545791188845
1204,2510.0671866368175
1614,2508.862634126948
1102,2508.109409411118
1820,2507.0831795221775
465,2491.246422555327
1234,2488.5663303165097
1162,2488.3257113383265
634,2475.309073156272
663,2468.3221923186543
1222,2466.2890329349907
1272,2462.827330736374
291,2460.03247389692
1269,2446.566949167975
1676,2446.2229980287348
1200,2445.5160520177046
1626,2441.0280125343393
531,2423.105431269379
1047,2415.083054363658
1478,2411.7307811943433
1146,2408.1652498465032
1578,2404.3772865394676
1115,2375.162102413286
549,2371.651810981939
1637,2369.911254364917
1242,2360.78315088448
486,2350.5521981365087
1332,2341.9008220945934
1912,2337.5341430636813
1661,2335.907224664842
300,2328.5177484841893
1378,2318.7885893725784
1985,2316.778600444675
1109,2313.2451691574943
1106,2283.1318972192607
526,2282.958511078809
1313,2281.4279408104712
1396,2275.823319009401
1363,2265.4113246216334
1621,2263.8406657867745
3472,2263.637733165209
243,2260.042584600325
10,2259.0893040552105
1833,2250.3158085023833
152,2241.660639919785
839,2239.3007167429037
395,2238.3459835087074
297,2221.952370029507
622,2209.767311845454
500,2205.003390411022
853,2203.705821128412
1336,2201.0622716270527
1093,2200.4471622857022
1149,2199.392436881733
1160,2197.596121574386
1166,2192.0947793744745
803,2187.212970290442
445,2179.896262945745
579,2178.801187148839
3499,2177.006086964841
1131,2176.234327019916
1415,2175.4617223364553
811,2172.629305271728
1586,2166.0427836130743
495,2165.46406810532
1356,2162.9893415777365
1028,2148.550024323849
1038,2140.4580697755473
386,2135.5633988752656
1453,2134.3770642737186
618,2131.176846793574
1606,2130.959881295802
1252,2130.3955429525654
576,2124.326619382724
545,2110.1796708208476
3561,2109.2550940617025
259,2106.5687858275464
864,2106.0755860012737
1872,2102.027947611432
