zip5,city_sample,state_sample,n_site_days,latitude,longitude,state_geocode,county_name,has_lat_lon
60440,Bolingbrook,IL,712,41.6976,-88.0873,IL,Will,True
60632,Chicago,IL,728,41.8093,-87.7052,IL,Cook,True
60804,Cicero,IL,721,41.8378,-87.7602,IL,Cook,True
63376,St. Peters,MO,2184,38.7802,-90.6228,MO,Saint Charles,True
65802,Springfield,MO,728,37.2117,-93.299,MO,Greene,True
65803,Springfield,MO,1456,37.2593,-93.2912,MO,Greene,True
65804,Springfield,MO,1456,37.1654,-93.2522,MO,Greene,True
65807,Springfield,MO,728,37.1668,-93.3085,MO,Greene,True
66030,Gardner,KS,728,38.8075,-94.9157,KS,Johnson,True
66215,Lenexa,KS,726,38.9536,-94.7336,KS,Johnson,True
66220,Lenexa,KS,728,38.9536,-94.7336,KS,Johnson,True
67502,Hutchinson,KS,710,38.1156,-97.8937,KS,Reno,True
68516,Lincoln,NE,728,40.7568,-96.6523,NE,Lancaster,True
68523,Lincoln,NE,728,40.7408,-96.7583,NE,Lancaster,True
68601,Columbus,NE,729,41.4297,-97.3684,NE,Platte,True
69101,North Platte,NE,561,41.1326,-100.7746,NE,Lincoln,True
70043,Chalmette,LA,728,29.9466,-89.9611,LA,St. Bernard,True
72076,Jacksonville,AR,728,34.919,-92.1419,AR,Pulaski,True
72301,West Memphis,AR,728,35.1484,-90.1779,AR,Crittenden,True
73089,Tuttle,OK,726,35.2674,-97.7446,OK,Grady,True
74012,Broken Arrow,OK,728,36.0447,-95.8079,OK,Tulsa,True
74464,Tahlequah,OK,1417,35.9094,-94.9787,OK,Cherokee,True
74501,McAlester,OK,728,34.9262,-95.7592,OK,Pittsburg,True
74701,Durant,OK,1456,34.0061,-96.3847,OK,Bryan,True
75019,Coppell,TX,727,32.9673,-96.9805,TX,Dallas,True
75023,Plano,TX,728,33.055,-96.7365,TX,Collin,True
75034,Frisco,TX,728,33.1499,-96.8241,TX,Collin,True
75070,McKinney,TX,728,33.1976,-96.6153,TX,Collin,True
75078,Prosper,TX,728,33.2362,-96.7954,TX,Collin,True
75087,Rockwall,TX,728,32.9492,-96.4418,TX,Rockwall,True
75104,Cedar Hill,TX,728,32.5885,-96.9438,TX,Dallas,True
75119,Ennis,TX,728,32.3321,-96.6224,TX,Ellis,True
75149,Mesquite,TX,728,32.7678,-96.6082,TX,Dallas,True
75165,Waxahachie,TX,728,32.3808,-96.8374,TX,Ellis,True
75218,Dallas,TX,728,32.8463,-96.6972,TX,Dallas,True
