client_id,site_id,address1,company_name,file_name,matched_address_in_file,year_5_max_hourly[car_wash_volume_estimate],tunnel_length_predicted,tunnel_length_actual,project_cost_total_investment[car_wash_acquisition_budget],project_cost_owner_investment[car_wash_acquisition_budget],project_cost_bank_debt_total[car_wash_acquisition_budget],total_debt_monthly_payment[bank_debt_allocation],2020_volume,2021_volume,2022_volume,2023_volume,2024_volume,2025_volume,2026_volume,operational_start
licketysplitexp_000558,1,1245 Fremont St,Lickety Split Car Wash,Sonny's Express Exterior Proforma_0695w00000GMHFQAA5.xlsx,"1245 Fremont St., Fernley, NV 89408, Average Daily Wash Hours",90.82,33.7763,,0.0,0.0,0.0,0.0,,,,,39434.0,104095.0,52993.0,05-2024
licketysplitexp_000558,1,1245 Fremont St,Lickety Split Car Wash,Sonny's Express Exterior Proforma_0695w00000GMHFQAA5.xlsx,"1245 Fremont St., Fernley, NV 89408",90.82,33.7763,,0.0,0.0,0.0,0.0,,,,,39434.0,104095.0,52993.0,05-2024
livingwaters_000022,7,5651 County Line Pl,Living Water Car Wash - Aurora,Sonny's Express Exterior Proforma_0695w00000AP2EdAAL.xlsx,"5651 County Line Pl., Highlands Ranch, CO 80126",106.96,38.6955,,0.0,0.0,0.0,0.0,,37543.0,1541.0,,,,,05-2021
livingwaters_000022,7,5651 County Line Pl,Living Water Car Wash - Aurora,Sonny's Express Exterior Proforma_0695w00000AP2EdAAL.xlsx,"5651 County Line Pl., Highlands Ranch, CO 80126, Average Daily Wash Hours",106.96,38.6955,,0.0,0.0,0.0,0.0,,37543.0,1541.0,,,,,05-2021
livingwaters_000022,7,5651 County Line Pl,Living Water Car Wash - Aurora,Sonny's Express Exterior Proforma_0695w00000AP2EdAAL.xlsx,5651 County Line Pl.,106.96,38.6955,,0.0,0.0,0.0,0.0,,37543.0,1541.0,,,,,05-2021
livingwaters_000022,1,6646 S. Wadsworth Blvd.,Living Water Car Wash - Aurora,Sonny's Express Exterior Proforma_0695w00000CDgIcAAL.xlsx,6646 S Wadsworth Blvd.,135.11,47.2752,,0.0,0.0,0.0,0.0,149691.0,150558.0,7106.0,,,,,01-2020
livingwaters_000022,1,6646 S. Wadsworth Blvd.,Living Water Car Wash - Aurora,Sonny's Express Exterior Proforma_0695w00000CDgIcAAL.xlsx,"6646 S Wadsworth Blvd., Littleton, CO 80123, Average Daily Wash Hours",135.11,47.2752,,0.0,0.0,0.0,0.0,149691.0,150558.0,7106.0,,,,,01-2020
livingwaters_000022,1,6646 S. Wadsworth Blvd.,Living Water Car Wash - Aurora,Sonny's Express Exterior Proforma_0695w00000CDgIcAAL.xlsx,"6646 S Wadsworth Blvd., Littleton, CO 80123",135.11,47.2752,,0.0,0.0,0.0,0.0,149691.0,150558.0,7106.0,,,,,01-2020
luvcarwash_000457,61,14537 Sherman Way,LUV Car Wash,"Sonny's Express Exterior Proforma 14537 Sherman Way, Los Angeles_0695w00000QAXd4AAH.xlsx",14537 Sherman Way,124.69,44.0993,,0.0,0.0,0.0,0.0,,,,,166622.0,259280.0,87595.0,05-2024
luvcarwash_000457,61,14537 Sherman Way,LUV Car Wash,"Sonny's Express Exterior Proforma 14537 Sherman Way, Los Angeles_0695w00000QAXd4AAH.xlsx","14537 Sherman Way, Los Angeles",124.69,44.0993,,0.0,0.0,0.0,0.0,,,,,166622.0,259280.0,87595.0,05-2024
luvcarwash_000457,61,14537 Sherman Way,LUV Car Wash,"Sonny's Express Exterior Proforma 14537 Sherman Way, Los Angeles_0695w00000QAXd4AAH.xlsx","14537 Sherman Way, Los Angeles, CA 91405, Average Daily Wash Hours",124.69,44.0993,,0.0,0.0,0.0,0.0,,,,,166622.0,259280.0,87595.0,05-2024
luvcarwash_000457,61,14537 Sherman Way,LUV Car Wash,"Sonny's Express Exterior Proforma 14537 Sherman Way, Los Angeles_0695w00000QAXd4AAH.xlsx","14537 Sherman Way, Los Angeles, CA 91405",124.69,44.0993,,0.0,0.0,0.0,0.0,,,,,166622.0,259280.0,87595.0,05-2024
