loc_group,ll_key,dup_type,n_sites_here,n_clients_here,client_name,client_id,site_id,lat,lon,operational_start,first_month,last_month,months_active,mem_wash_count,ret_wash_count,total_washes
75,"34.8869,-82.3957",cross_operator,2,2,Heroes Car Wash,carolinacarwash_000283,6,34.8869364,-82.3956641,05-2022,2022-05,2023-08,16,48523,28144,76667
75,"34.8869,-82.3957",cross_operator,2,2,Colonial Car Wash,colonialcw_000420,5,34.8869364,-82.3956641,08-2023,2023-08,2026-05,34,50159,164430,214589
76,"34.9036,-82.3325",cross_operator,2,2,Heroes Car Wash,carolinacarwash_000283,4,34.903567,-82.3325024,03-2022,2022-03,2023-08,18,61944,31406,93350
76,"34.9036,-82.3325",cross_operator,2,2,Colonial Car Wash,colonialcw_000420,3,34.903567,-82.3325024,08-2023,2023-08,2026-05,34,51972,165704,217676
77,"34.9354,-82.2763",cross_operator,2,2,Heroes Car Wash,carolinacarwash_000283,5,34.935384,-82.276331,08-2022,2022-08,2023-08,13,32728,17191,49919
77,"34.9354,-82.2763",cross_operator,2,2,Colonial Car Wash,colonialcw_000420,4,34.935384,-82.276331,08-2023,2023-08,2026-05,34,33425,126000,159425
78,"35.0523,-78.9745",cross_operator,2,2,Five Star,fivestar_000150,3,35.0522632,-78.9744552,01-2020,2020-01,2022-04,28,179536,185098,364634
78,"35.0523,-78.9745",cross_operator,2,2,Magnolia,magnolia_000414,2,35.0522632,-78.9744552,04-2022,2022-04,2026-05,50,279928,244401,524329
79,"35.1071,-78.8793",cross_operator,2,2,Five Star,fivestar_000150,1,35.1071029,-78.8792549,01-2020,2020-01,2022-04,28,160272,144045,304317
79,"35.1071,-78.8793",cross_operator,2,2,Magnolia,magnolia_000414,1,35.1071029,-78.8792549,04-2022,2022-04,2026-05,50,315760,191187,506947
