client_id_location_id,operational_start_date,latitude,longitude,state,region,city,zip,cohort,cbsa_id,cbsa_name,h3_id
championxpress_c18d73959e94e13f52b897642d5807dc97fe449635aad24d4413091d196177c1,2024-01-01,32.7818276,-108.2726762,NM,West,SILVER CITY,88061-7883,young,43500,"Silver City, NM",8848c0aed3fffff
championxpress_c94e2aad81ff700cfb02226e7f7e1b3917d5e3be57e264c153151f89ba6af0f8,2024-01-01,39.084002,-108.471501,CO,West,GRAND JUNCTION,81504,young,24300,"Grand Junction, CO",88269c11e3fffff
championxpress_cb885bbbcb23af0d81fb186d714914ae8ff90d679017d8d348d1c1631d219ff8,2024-01-01,34.8069634,-106.7336153,NM,West,LOS LUNAS,87031-7464,young,10740,"Albuquerque, NM",8848dc253bfffff
championxpress_cf8861263c10dbc09a5c30c9bd94fee1fa6b9b26609eb6186b3bb8830a4a05e5,2024-01-01,31.8632753,-106.5879374,TX,South,EL PASO,79932,young,21340,"El Paso, TX",8848c61285fffff
championxpress_d0789aade27f20a1ca14376b7e1ffbefead2aa4cb321bd933c27149679c5d1a0,2024-01-01,40.3753805,-80.7046964,NM,West,RIO RANCHO,87144-5618,young,48260,"Weirton-Steubenville, WV-OH",882a86aa07fffff
championxpress_d0f923a9d7db694c91ecbc07c5134ffc79dc27dcc23f451bfc59fbf2c77dd991,2024-01-01,40.4786853,-104.8884584,CO,West,WINDSOR,80550-3298,young,24540,"Greeley, CO",8826aa5765fffff
championxpress_d3b652b10642b531693d03aaf7d4cc12e00024cee7c89d9e70d32ee6de2b005b,2024-01-01,31.9212694,-106.4397093,TX,South,EL PASO,79924,young,21340,"El Paso, TX",8848c61addfffff
championxpress_d5dbb15412218cd90698b99bd10f18750bba2621e7475fc759e6ba9842c000d0,2024-01-01,35.109512,-106.560552,NM,West,ALBUQUERQUE,87110-3637,young,10740,"Albuquerque, NM",8848d8875dfffff
championxpress_e3cfd10095b2ecd7d8b87c5a7b925cb9d0b24ea9dec5745857ba7bba6d99e323,2024-01-01,40.740348,-73.320643,TX,South,EL PASO,79905,young,35620,"New York-Newark-Jersey City, NY-NJ-PA",882a10a115fffff
championxpress_eecb6201f11089cd948f4ad030104f379cec548a19a44bc53c575ffbc66a2e8f,2024-01-01,35.0756921,-106.7230234,NM,West,ALBUQUERQUE,87121,young,10740,"Albuquerque, NM",8848dd4b3dfffff
championxpress_ef28c80b7117809aa3042a88c1673ff971de97c74c0fb871bcc9f744abc44943,2024-01-01,33.577615,-96.1923883,CO,West,ALAMOSA,81101-2273,young,14300,"Bonham, TX",8826c8b207fffff
