client_id_location_id,operational_start_date,latitude,longitude,state,region,city,zip,cohort,cbsa_id,cbsa_name,h3_id
magnolia_71,2024-10-02,34.8899388,-77.548223,NC,South,Richlands,28574,young,27340,"Jacksonville, NC",882ad09661fffff
magnolia_72,2024-10-11,33.9027396,-78.4436843,NC,South,Ocean Isle Beach,28469,young,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",882ad388d1fffff
makoexpress_1,2024-11-26,33.6552376,-78.9318203,SC,South,Myrtle Beach,29577,young,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",882ad34695fffff
matthewscarwash_1,2024-10-23,35.5171599,-81.0040899,NC,South,Denver,28037,young,16740,"Charlotte-Concord-Gastonia, NC-SC",8844d86d43fffff
mintexpresscarwash_4,2024-10-15,29.5703956,-95.3915468,TX,South,Pearland,77584,young,26420,"Houston-The Woodlands-Sugar Land, TX",88446cb9c7fffff
missioncarwash_1,2024-11-11,33.190045,-87.4617332,AL,South,Cottondale,35401,young,46220,"Tuscaloosa, AL",8844ed6299fffff
mrcleancarwash_19,2024-02-15,34.377375,-84.92847,GA,South,Adairsville,30103,young,12060,"Atlanta-Sandy Springs-Roswell, GA",8844cc030dfffff
mrsudsexpresscarwash_1,2024-06-20,26.187159,-80.252533,FL,South,Lauderhill,33351,young,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",8844a1234dfffff
orcaexpress_1,2024-01-23,47.167013,-122.143434,WA,West,Bonney Lake,98391,young,42660,"Seattle-Tacoma-Bellevue, WA",8828d4ae9bfffff
pinkbirdcarwash_1,2024-11-14,26.7199475,-80.0870623,FL,South,West Palm Beach,33401,young,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",8844ae8539fffff
racewaycarwash_1,2024-04-25,42.043359,-88.277576,IL,Midwest,Elgin,60120,young,16980,"Chicago-Naperville-Elgin, IL-IN-WI",88275939dbfffff
racewaycarwash_2,2024-11-08,42.115524,-87.986045,IL,Midwest,Arlington Heights,60004,young,16980,"Chicago-Naperville-Elgin, IL-IN-WI",882759328dfffff
racewaycarwash_3,2024-09-03,42.397505,-88.184202,IL,Midwest,Fox Lake,60020,young,16980,"Chicago-Naperville-Elgin, IL-IN-WI",8827591733fffff
radiantexpresscarwash_8,2024-01-26,27.9958305,-82.4862386,FL,South,Tampa,33614,young,45300,"Tampa-St. Petersburg-Clearwater, FL",88441a1229fffff
radiantexpresscarwash_9,2024-08-28,28.193328,-82.590251,FL,South,Odessa,33556,young,45300,"Tampa-St. Petersburg-Clearwater, FL",88441a14e1fffff
ridethru_1,2024-03-20,33.975085,-118.122414,CA,West,Montebello,90640,young,31080,"Los Angeles-Long Beach-Anaheim, CA",8829a1d207fffff
rinsemyride_4,2024-02-28,33.5971226,-112.1348587,AZ,West,Phoenix,85029,young,38060,"Phoenix-Mesa-Scottsdale, AZ",8829b6c255fffff
riptide_11,2024-03-20,33.9838152,-78.3677888,NC,South,Shallotte,28470,young,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",882ad38147fffff
riptide_12,2024-09-10,37.07233,-76.473289,VA,South,Newport News,23606,young,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",882af60c03fffff
riptide_14,2024-10-30,35.9587881,-86.8062696,TN,South,Franklin,37067,young,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",88264d01dbfffff
riptide_15,2024-11-19,35.9091264,-86.8308782,TN,South,Franklin,37064,young,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",88264d0e67fffff
riptide_9,2024-03-07,34.7242705,-76.7443341,NC,South,Morehead City,28557,young,33980,"Morehead City, NC",882ad510e7fffff
roadrunnerexpress_4,2024-09-06,37.283468,-79.923973,VA,South,Roanoke,24012,young,40220,"Roanoke, VA",882a8a970bfffff
scrubblesstl_11,2024-07-17,38.6700002,-90.6085959,MO,Midwest,Chesterfield,63005,young,41180,"St. Louis, MO-IL",8826462a89fffff
scrubblesstl_12,2024-09-17,38.8090099,-90.8770201,MO,Midwest,Wentzville,63385,young,41180,"St. Louis, MO-IL",8826467739fffff
shaftercarwash_1,2024-10-14,35.5017576,-119.2730227,CA,West,Shafter,93263,young,12540,"Bakersfield, CA",8829ac6b37fffff
sharkbaycarwash_1,2024-08-28,30.928691,-83.245584,GA,South,Valdosta,31605,young,46660,"Valdosta, GA",8844e24d33fffff
shineycarwash_1,2024-08-14,39.3979453,-76.9310934,MD,South,Sykesville,21784,young,12580,"Baltimore-Columbia-Towson, MD",882aa8cb6dfffff
shortmancarwash_4,2024-07-19,36.0308366,-95.867917,OK,South,Tulsa,74133,young,46140,"Tulsa, OK",8826ea96c1fffff
snapclean_5,2024-06-26,32.4837293,-97.0059181,TX,South,Midlothian,76065,young,19100,"Dallas-Fort Worth-Arlington, TX",8826cbc6b1fffff
snapclean_6,2024-06-11,32.708644,-97.132958,TX,South,Arlington,76013,young,19100,"Dallas-Fort Worth-Arlington, TX",8826cbd099fffff
southernshineexpress_1,2024-10-30,34.9627359,-82.4319032,SC,South,Travelers Rest,29690,young,24860,"Greenville-Anderson-Mauldin, SC",8844dd0823fffff
splash_4,2024-02-02,29.2799998,-81.0815648,FL,South,Ormond Beach,32174,young,19660,"Deltona-Daytona Beach-Ormond Beach, FL",8844f6135dfffff
