n_pre_nbrs,n_pre_nbrs_5km,n_matured_pre_nbrs,nbr_mat_min_strict,nbr_mat_std_strict,nbr_mat_median_strict,nbr_mat_cv_strict,local_recent_wash_mean,op_n_sites_preT,op_n_prior_matured,op_track_mean_strict,op_track_goodfrac_strict,site_key,client_id,t_open,y,realized_mature,express_like,group,oof_prob
2,0,1,11940.23076923077,,11940.23076923077,,11588.666666666666,7,2,10702.153846153848,1.0,centurycarwash_000236::8,centurycarwash_000236,2023-09-01,1,9738.615384615385,True,centurycarwash_000236,0.39516208127770847
4,1,0,,,,,9825.138888888889,1,0,,,dripautospa_000581::1,dripautospa_000581,2023-09-01,1,10809.46153846154,True,dripautospa_000581,0.4798849842528588
6,0,2,18.076923076923077,2.882819954068232,20.115384615384613,0.1433141850970823,7405.111111111112,3,2,20.115384615384613,0.0,kazbour_000007::4,kazbour_000007,2023-09-01,0,0.0,False,kazbour_000007,0.3835023507879712
9,5,1,24049.30769230769,,24049.30769230769,,13906.958333333332,38,0,,,luvcarwash_000457::42,luvcarwash_000457,2023-09-01,1,12696.307692307691,True,luvcarwash_000457,0.1686860214874454
4,1,2,4074.5384615384614,542.1877226821159,4457.923076923077,0.1216233912803048,4661.833333333333,38,0,,,magnolia_000414::49,magnolia_000414,2023-09-01,0,5857.538461538462,True,magnolia_000414,0.38458571479274034
3,0,1,5725.846153846154,,5725.846153846154,,4351.499999999999,1,0,,,napcowash_000528::1,napcowash_000528,2023-09-01,0,3183.769230769231,True,napcowash_000528,0.33987365010167186
8,0,5,2501.0,4236.949868428226,4407.0,0.6619613580645918,8658.229166666668,2,0,,,presidentialcw_000589::1,presidentialcw_000589,2023-09-01,0,3026.923076923077,True,presidentialcw_000589,0.48111118925596036
6,0,2,4082.0,8940.549355664061,10403.923076923076,0.8593440464294742,7704.299999999998,1,0,,,superduper_000580::1,superduper_000580,2023-09-01,1,29814.53846153846,True,superduper_000580,0.6120460375689316
8,2,3,2372.923076923077,4618.5676058474055,10168.153846153846,0.5997261028289188,7447.3375,2,0,,,vibecw_000482::2,vibecw_000482,2023-09-01,1,11647.692307692309,True,vibecw_000482,0.48634234242880514
9,1,1,12191.153846153846,,12191.153846153846,,7683.166666666666,15,0,,,bigdans_000378::17,bigdans_000378,2023-10-01,1,11133.23076923077,True,bigdans_000378,0.28882262692302485
6,0,1,2446.5384615384614,,2446.5384615384614,,8405.72222222222,1,0,,,bluerhinocw_000596::1,bluerhinocw_000596,2023-10-01,1,7690.923076923077,True,bluerhinocw_000596,0.4797959824691604
17,6,6,620.5,5432.370790889922,6345.0,0.7846111231378412,6751.03125,29,0,,,bluewave_000567::33,bluewave_000567,2023-10-01,1,9523.53846153846,True,bluewave_000567,0.5379510112206075
17,6,6,620.5,5432.370790889922,6345.0,0.7846111231378412,6751.03125,29,0,,,bluewave_000567::34,bluewave_000567,2023-10-01,0,10895.0,True,bluewave_000567,0.5379510112206075
17,6,6,620.5,5432.370790889922,6345.0,0.7846111231378412,6751.03125,29,0,,,bluewave_000567::35,bluewave_000567,2023-10-01,0,8995.307692307691,True,bluewave_000567,0.5379510112206075
17,6,6,620.5,5432.370790889922,6345.0,0.7846111231378412,6751.03125,29,0,,,bluewave_000567::36,bluewave_000567,2023-10-01,1,14403.307692307691,True,bluewave_000567,0.5379510112206075
17,6,6,620.5,5432.370790889922,6345.0,0.7846111231378412,6751.03125,29,0,,,bluewave_000567::37,bluewave_000567,2023-10-01,0,6573.538461538462,True,bluewave_000567,0.5379510112206075
17,6,6,620.5,5432.370790889922,6345.0,0.7846111231378412,6751.03125,29,0,,,bluewave_000567::38,bluewave_000567,2023-10-01,1,11074.23076923077,True,bluewave_000567,0.5379510112206075
17,6,6,620.5,5432.370790889922,6345.0,0.7846111231378412,6751.03125,29,0,,,bluewave_000567::39,bluewave_000567,2023-10-01,1,9978.615384615385,True,bluewave_000567,0.5379510112206075
17,6,6,620.5,5432.370790889922,6345.0,0.7846111231378412,6751.03125,29,0,,,bluewave_000567::40,bluewave_000567,2023-10-01,1,13919.076923076924,True,bluewave_000567,0.5379510112206075
5,1,1,16914.69230769231,,16914.69230769231,,6663.633333333334,24,10,11545.546153846157,0.9,caliberocala_000153::26,caliberocala_000153,2023-10-01,0,0.0,False,caliberocala_000153,0.2536572256667988
2,0,1,1955.4615384615383,,1955.4615384615383,,2087.833333333333,1,0,,,frankiescw_000573::1,frankiescw_000573,2023-10-01,0,637.8333333333334,False,frankiescw_000573,0.3326296725670712
6,0,3,3956.0,1088.6019677011616,4671.5,0.2218310943579892,4278.3125,39,0,,,luvcarwash_000457::43,luvcarwash_000457,2023-10-01,0,5575.615384615385,True,luvcarwash_000457,0.2126900157633947
5,0,1,5574.714285714285,,5574.714285714285,,4747.555555555556,40,0,,,magnolia_000414::52,magnolia_000414,2023-10-01,0,5484.307692307692,True,magnolia_000414,0.4712660280695546
5,0,1,10562.307692307691,,10562.307692307691,,4307.566666666667,8,0,,,smittyscw_000489::8,smittyscw_000489,2023-10-01,1,8963.692307692309,True,smittyscw_000489,0.3188157376480059
6,0,3,0.0,5836.432707359395,7452.307692307692,0.9235274033935968,5949.458333333333,2,0,,,soapyshark_000467::2,soapyshark_000467,2023-10-01,1,10847.923076923076,True,soapyshark_000467,0.5571777853657524
5,0,2,10301.615384615385,5065.060266468563,13883.153846153848,0.3648349879715389,8843.388888888889,8,1,9127.615384615385,1.0,sudsdeluxe_000305::9,sudsdeluxe_000305,2023-10-01,0,14705.692307692309,True,sudsdeluxe_000305,0.4509845618293077
2,1,0,,,,,3589.8333333333335,1,0,,,thegoodwash_000590::1,thegoodwash_000590,2023-10-01,0,14859.307692307691,True,thegoodwash_000590,0.350645490896632
5,0,3,2474.6153846153848,7399.445216023358,12988.307692307691,0.6890913470881223,12609.7,18,0,,,bigdans_000378::15,bigdans_000378,2023-11-01,1,13059.46153846154,True,bigdans_000378,0.6954851512184932
6,3,1,3212.230769230769,,3212.230769230769,,8979.041666666668,18,0,,,bigdans_000378::19,bigdans_000378,2023-11-01,1,15193.23076923077,True,bigdans_000378,0.44804976521672746
25,14,6,620.5,5432.370790889922,6345.0,0.7846111231378412,7075.0,37,0,,,bluewave_000567::41,bluewave_000567,2023-11-01,1,14241.692307692309,True,bluewave_000567,0.5350318058902295
25,14,6,620.5,5432.370790889922,6345.0,0.7846111231378412,7075.0,37,0,,,bluewave_000567::43,bluewave_000567,2023-11-01,1,14145.0,True,bluewave_000567,0.5350318058902295
25,14,6,620.5,5432.370790889922,6345.0,0.7846111231378412,7075.0,37,0,,,bluewave_000567::44,bluewave_000567,2023-11-01,1,15496.923076923076,True,bluewave_000567,0.5350318058902295
